                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1129,                 1.0788,                 1.1143,                 0.7651,                0.59751,                0.67481,                0.51157,                0.99138,                0.77165,                0.99151,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     34,                 1.1098,                 1.0454,                 1.1136,                0.80112,                0.58264,                 0.6773,                0.51635,                  0.988,                0.76579,                 0.9899,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     35,                  1.095,                 1.0327,                 1.0972,                0.81385,                0.58048,                0.68059,                0.51784,                0.98435,                0.76354,                0.98854,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     36,                 1.1364,                 1.1005,                 1.1208,                 0.8154,                0.58094,                0.67912,                0.51545,                0.98014,                0.76257,                0.98597,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     37,                 1.0882,                 1.0651,                 1.1022,                0.82051,                0.58328,                0.68698,                0.52115,                0.97814,                0.76077,                0.98448,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     38,                 1.0959,                 1.0164,                 1.0965,                0.82278,                0.58115,                0.68881,                0.51889,                0.97706,                0.76001,                0.98382,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     39,                 1.1389,                  1.045,                 1.1009,                0.80813,                0.59001,                0.68877,                0.52139,                0.97374,                0.75647,                0.98149,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     40,                 1.0851,                 1.0402,                 1.0939,                0.79459,                0.60007,                0.68971,                0.52339,                0.97027,                0.75439,                 0.9797,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     41,                  1.025,                0.99448,                 1.0312,                0.82884,                0.59597,                  0.689,                0.52161,                0.96843,                0.75443,                0.97566,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     42,                 1.0846,                 1.0476,                 1.0722,                0.83677,                0.59725,                0.68698,                0.52122,                0.96622,                0.76057,                0.97262,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     43,                 1.1018,                 1.0452,                 1.0555,                0.82578,                0.60032,                0.68754,                0.52246,                 0.9684,                0.76716,                0.97164,              2.004e-05,              2.004e-05,              2.004e-05
                     44,                 1.0471,                0.99684,                 1.0373,                0.83251,                0.59383,                0.68534,                0.52044,                0.96935,                0.77038,                0.97096,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     45,                 1.0848,                0.96078,                 1.0439,                0.81607,                0.59581,                0.68752,                0.52321,                0.97182,                0.77461,                0.97082,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     46,                 1.0327,                0.94283,                  1.048,                0.81001,                0.59363,                0.68574,                0.52364,                0.97252,                0.77586,                0.96967,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     47,                 1.0323,                0.91605,                 1.0324,                0.79419,                0.60384,                0.68691,                0.52127,                0.97219,                0.77448,                0.96923,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     48,                 1.0432,                0.91653,                  1.059,                0.81642,                0.58717,                0.68804,                0.52267,                0.97515,                0.77588,                0.96995,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     49,                 1.0378,                0.92312,                 1.0391,                0.84556,                0.58116,                0.68844,                0.52277,                0.97727,                0.77824,                0.97054,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     50,                0.99441,                0.87214,                 1.0289,                0.84094,                0.58323,                0.68928,                0.52344,                 0.9774,                0.78251,                0.97099,             3.5462e-06,             3.5462e-06,             3.5462e-06
